"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"BAT1";"CR2032";"BATTERY20PTH";"BATTCOM_20MM_PTH";"Battery Holders";"";"";"";"";"";
"C1";"27p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C2";"27p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C3";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C4";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C5";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C6";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C7";"0.1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";
"C8";"100u (107C)";"CPOL-EUC/6032-28W";"C/6032-28W";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"C9";"100u (107C)";"CPOL-EUC/6032-28W";"C/6032-28W";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"CERPADLO";"";"PSH02-02P";"PSH02-02P";"Konektory se zamkem - vidlice - 2pin";"";"";"";"";"";
"D1";"RX";"LED_1206";"P1206";"LED - jednobarevna";"";"";"";"";"";
"D2";"TX";"LED_1206";"P1206";"LED - jednobarevna";"";"";"";"";"";
"D3";"1N4007.";"1N4007.";"SM-1";"Usmernovaci dioda - 1A, 1000V";"";"";"";"";"";
"D4";"1N4007.";"1N4007.";"SM-1";"Usmernovaci dioda - 1A, 1000V";"";"";"";"";"";
"DOWN";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";
"F1";"3,15A";"FUSE2P";"FUSE1";"FUSE";"";"";"";"";"";
"FID1";"FIDUCIAL1.5X3";"FIDUCIAL1.5X3";"FIDUCIAL-1.5X3";"Fiducial Alignment Points";"";"";"";"";"";
"FID2";"FIDUCIAL1.5X3";"FIDUCIAL1.5X3";"FIDUCIAL-1.5X3";"Fiducial Alignment Points";"";"";"";"";"";
"FID3";"FIDUCIAL1.5X3";"FIDUCIAL1.5X3";"FIDUCIAL-1.5X3";"Fiducial Alignment Points";"";"";"";"";"";
"FID4";"FIDUCIAL1.5X3";"FIDUCIAL1.5X3";"FIDUCIAL-1.5X3";"Fiducial Alignment Points";"";"";"";"";"";
"IC1";"ATMEGA";"MEGA8-P";"DIL28-3";"MICROCONTROLLER";"";"";"";"";"";
"IC2";"FT232RL";"FT232RL";"SSOP28";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";"FT232RL";"1146032";"91K9918";"";
"IC3";"DS1307+";"DS1337S+";"SO08";"RTC - obvod realneho casu";"";"";"";"";"";
"IC4";"7805";"78XXL";"78XXL";"VOLTAGE REGULATOR";"";"";"";"";"";
"J1";"RTCBAT";"S1G2_JUMP";"S1G2_JUM";"Radove konektory - koliky - 2x";"";"";"";"";"";
"J2";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";"";"";"";"PRT-00119";
"KK1";"D0A-L";"D0A-L";"D02A-L";"HEATSINK";"";"";"";"";"";
"LEFT";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";
"P1";"10k";"TRIMRPT10V";"PT10V";"Trimr";"";"";"";"";"";
